topic	seq	lc	slug	title	diff
01_arrays_hashing	001	1929	concatenation-of-array	Concatenation of Array	Easy
01_arrays_hashing	002	217	contains-duplicate	Contains Duplicate	Easy
01_arrays_hashing	003	242	valid-anagram	Valid Anagram	Easy
01_arrays_hashing	004	1	two-sum	Two Sum	Easy
01_arrays_hashing	005	169	majority-element	Majority Element	Easy
01_arrays_hashing	006	448	find-all-numbers-disappeared-in-an-array	Find All Numbers Disappeared in an Array	Easy
01_arrays_hashing	007	49	group-anagrams	Group Anagrams	Medium
01_arrays_hashing	008	347	top-k-frequent-elements	Top K Frequent Elements	Medium
01_arrays_hashing	009	271	encode-and-decode-strings	Encode and Decode Strings	Medium
01_arrays_hashing	010	238	product-of-array-except-self	Product of Array Except Self	Medium
01_arrays_hashing	011	36	valid-sudoku	Valid Sudoku	Medium
01_arrays_hashing	012	128	longest-consecutive-sequence	Longest Consecutive Sequence	Medium
01_arrays_hashing	013	31	next-permutation	Next Permutation	Medium
01_arrays_hashing	014	205	isomorphic-strings	Isomorphic Strings	Easy
02_two_pointers	001	125	valid-palindrome	Valid Palindrome	Easy
02_two_pointers	002	680	valid-palindrome-ii	Valid Palindrome II	Easy
02_two_pointers	003	26	remove-duplicates-from-sorted-array	Remove Duplicates from Sorted Array	Easy
02_two_pointers	004	27	remove-element	Remove Element	Easy
02_two_pointers	005	283	move-zeroes	Move Zeroes	Easy
02_two_pointers	006	167	two-sum-ii-input-array-is-sorted	Two Sum II - Input Array Is Sorted	Medium
02_two_pointers	007	15	3sum	3Sum	Medium
02_two_pointers	008	16	3sum-closest	3Sum Closest	Medium
02_two_pointers	009	11	container-with-most-water	Container With Most Water	Medium
02_two_pointers	010	42	trapping-rain-water	Trapping Rain Water	Hard
02_two_pointers	011	881	boats-to-save-people	Boats to Save People	Medium
03_sliding_window	001	121	best-time-to-buy-and-sell-stock	Best Time to Buy and Sell Stock	Easy
03_sliding_window	002	643	maximum-average-subarray-i	Maximum Average Subarray I	Easy
03_sliding_window	003	1456	maximum-number-of-vowels-in-a-substring	Maximum Number of Vowels in a Substring of Given Length	Medium
03_sliding_window	004	219	contains-duplicate-ii	Contains Duplicate II	Easy
03_sliding_window	005	3	longest-substring-without-repeating-characters	Longest Substring Without Repeating Characters	Medium
03_sliding_window	006	1004	max-consecutive-ones-iii	Max Consecutive Ones III	Medium
03_sliding_window	007	424	longest-repeating-character-replacement	Longest Repeating Character Replacement	Medium
03_sliding_window	008	209	minimum-size-subarray-sum	Minimum Size Subarray Sum	Medium
03_sliding_window	009	904	fruit-into-baskets	Fruit Into Baskets	Medium
03_sliding_window	010	567	permutation-in-string	Permutation in String	Medium
03_sliding_window	011	438	find-all-anagrams-in-a-string	Find All Anagrams in a String	Medium
03_sliding_window	012	930	binary-subarrays-with-sum	Binary Subarrays With Sum	Medium
03_sliding_window	013	992	subarrays-with-k-different-integers	Subarrays with K Different Integers	Hard
03_sliding_window	014	76	minimum-window-substring	Minimum Window Substring	Hard
03_sliding_window	015	239	sliding-window-maximum	Sliding Window Maximum	Hard
04_prefix_sum	001	1480	running-sum-of-1d-array	Running Sum of 1d Array	Easy
04_prefix_sum	002	303	range-sum-query-immutable	Range Sum Query - Immutable	Easy
04_prefix_sum	003	724	find-pivot-index	Find Pivot Index	Easy
04_prefix_sum	004	560	subarray-sum-equals-k	Subarray Sum Equals K	Medium
04_prefix_sum	005	525	contiguous-array	Contiguous Array	Medium
04_prefix_sum	006	304	range-sum-query-2d-immutable	Range Sum Query 2D - Immutable	Medium
04_prefix_sum	007	974	subarray-sums-divisible-by-k	Subarray Sums Divisible by K	Medium
04_prefix_sum	008	523	continuous-subarray-sum	Continuous Subarray Sum	Medium
05_binary_search	001	704	binary-search	Binary Search	Easy
05_binary_search	002	35	search-insert-position	Search Insert Position	Easy
05_binary_search	003	278	first-bad-version	First Bad Version	Easy
05_binary_search	004	374	guess-number-higher-or-lower	Guess Number Higher or Lower	Easy
05_binary_search	005	74	search-a-2d-matrix	Search a 2D Matrix	Medium
05_binary_search	006	875	koko-eating-bananas	Koko Eating Bananas	Medium
05_binary_search	007	153	find-minimum-in-rotated-sorted-array	Find Minimum in Rotated Sorted Array	Medium
05_binary_search	008	33	search-in-rotated-sorted-array	Search in Rotated Sorted Array	Medium
05_binary_search	009	981	time-based-key-value-store	Time Based Key-Value Store	Medium
05_binary_search	010	1011	capacity-to-ship-packages-within-d-days	Capacity To Ship Packages Within D Days	Medium
05_binary_search	011	410	split-array-largest-sum	Split Array Largest Sum	Hard
05_binary_search	012	4	median-of-two-sorted-arrays	Median of Two Sorted Arrays	Hard
06_stack	001	20	valid-parentheses	Valid Parentheses	Easy
06_stack	002	682	baseball-game	Baseball Game	Easy
06_stack	003	496	next-greater-element-i	Next Greater Element I	Easy
06_stack	004	155	min-stack	Min Stack	Medium
06_stack	005	150	evaluate-reverse-polish-notation	Evaluate Reverse Polish Notation	Medium
06_stack	006	22	generate-parentheses	Generate Parentheses	Medium
06_stack	007	739	daily-temperatures	Daily Temperatures	Medium
06_stack	008	853	car-fleet	Car Fleet	Medium
06_stack	009	901	online-stock-span	Online Stock Span	Medium
